Name,Price,link
"Dell 14 Thin & Light Laptop, Intel Core i5-1235U Processor, 8GB + 512GB SSD, 14.0"" (35.62cm) FHD AG 250 nits Display, Windows 11 + MSO'21 & 15 Month McAfee, Grey, Spill-Resistant Keyboard, 1.48kg  ","45,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo1MDE4OTY0ODIzNjYxMzQ3OjE3MjcxMTk0MTQ6c3BfYXRmOjMwMDE5MDM3NDI2MzczMjo6MDo6&url=%2FDell-Laptop-i5-1235U-Processor-Spill-Resistant%2Fdp%2FB0D2DNCMB4%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3MIUSL9O81U25%26dib%3DeyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERU5Rtnil5BFCbv25_O_pPHHYGldERAzkaiSibN1xEh6hNXi4JLYq9yrmYJuEtsbqPUDGOzwNVdbxqBW2ohV5WqUun_G38edbDqYQ-NgluhjxFIoWPbZD_HRSi789GrPDZbgw1GE5o3HbA3_MeTYS8WPkQzZrQAkCn4ZV6_5tDZa80.mQtjXxjvW50emQuxkVdbj-ixuskJbeUpdRssnnkJRFE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727119414%26sprefix%3Dlat%252Caps%252C1134%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam  ","15,990",https://amazon.in/Chuwi-HeroBook-Pro-Celeron-Mini-HDMI/dp/B0D9RXH8X5/ref=sr_1_6?crid=3MIUSL9O81U25&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERU5Rtnil5BFCbv25_O_pPHHYGldERAzkaiSibN1xEh6hNXi4JLYq9yrmYJuEtsbqPUDGOzwNVdbxqBW2ohV5WqUun_G38edbDqYQ-NgluhjxFIoWPbZD_HRSi789GrPDZbgw1GE5o3HbA3_MeTYS8WPkQzZrQAkCn4ZV6_5tDZa80.mQtjXxjvW50emQuxkVdbj-ixuskJbeUpdRssnnkJRFE&dib_tag=se&keywords=laptop&qid=1727119414&sprefix=lat%2Caps%2C1134&sr=8-6
"Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop(Win11Home/16GB RAM/512GB SSD/Intel UHD Graphics/MSO)AL15-52H, 39.62cm(15.6"") FHD IPS Display, Backlit Keyboard, Pure Silver, 1.7KG  ","41,990",https://amazon.in/Acer-i5-12450H-Win11Home-Graphics-AL15-52H/dp/B0DDL495SX/ref=sr_1_7?crid=3MIUSL9O81U25&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERU5Rtnil5BFCbv25_O_pPHHYGldERAzkaiSibN1xEh6hNXi4JLYq9yrmYJuEtsbqPUDGOzwNVdbxqBW2ohV5WqUun_G38edbDqYQ-NgluhjxFIoWPbZD_HRSi789GrPDZbgw1GE5o3HbA3_MeTYS8WPkQzZrQAkCn4ZV6_5tDZa80.mQtjXxjvW50emQuxkVdbj-ixuskJbeUpdRssnnkJRFE&dib_tag=se&keywords=laptop&qid=1727119414&sprefix=lat%2Caps%2C1134&sr=8-7
"Lenovo V15 G2 15.6"" FHD Anti-Glare Business Laptop, Intel Celeron N4500, 8GB RAM, 256 SSD, Intel UHD Graphics, HD Camera, HD Audio, Wi-Fi, Bluetooth, Windows 11, Black,  ","22,990",https://amazon.in/Lenovo-V15-G2-Anti-Glare-Bluetooth/dp/B0CVTJSWV1/ref=sr_1_8?crid=3MIUSL9O81U25&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERU5Rtnil5BFCbv25_O_pPHHYGldERAzkaiSibN1xEh6hNXi4JLYq9yrmYJuEtsbqPUDGOzwNVdbxqBW2ohV5WqUun_G38edbDqYQ-NgluhjxFIoWPbZD_HRSi789GrPDZbgw1GE5o3HbA3_MeTYS8WPkQzZrQAkCn4ZV6_5tDZa80.mQtjXxjvW50emQuxkVdbj-ixuskJbeUpdRssnnkJRFE&dib_tag=se&keywords=laptop&qid=1727119414&sprefix=lat%2Caps%2C1134&sr=8-8
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ","21,719",https://amazon.in/Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_9?crid=3MIUSL9O81U25&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERU5Rtnil5BFCbv25_O_pPHHYGldERAzkaiSibN1xEh6hNXi4JLYq9yrmYJuEtsbqPUDGOzwNVdbxqBW2ohV5WqUun_G38edbDqYQ-NgluhjxFIoWPbZD_HRSi789GrPDZbgw1GE5o3HbA3_MeTYS8WPkQzZrQAkCn4ZV6_5tDZa80.mQtjXxjvW50emQuxkVdbj-ixuskJbeUpdRssnnkJRFE&dib_tag=se&keywords=laptop&qid=1727119414&sprefix=lat%2Caps%2C1134&sr=8-9
"(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)  ","16,392",https://amazon.in/Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR49QPM9/ref=sr_1_10?crid=3MIUSL9O81U25&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERU5Rtnil5BFCbv25_O_pPHHYGldERAzkaiSibN1xEh6hNXi4JLYq9yrmYJuEtsbqPUDGOzwNVdbxqBW2ohV5WqUun_G38edbDqYQ-NgluhjxFIoWPbZD_HRSi789GrPDZbgw1GE5o3HbA3_MeTYS8WPkQzZrQAkCn4ZV6_5tDZa80.mQtjXxjvW50emQuxkVdbj-ixuskJbeUpdRssnnkJRFE&dib_tag=se&keywords=laptop&qid=1727119414&sprefix=lat%2Caps%2C1134&sr=8-10
"Dell Inspiron 3520 Laptop, Intel Core i3-1215U Processor, 8GB, 512GB, 15.6"" (39.62cm) FHD Display, Win 11 + MSO'21, 15 Month McAfee Antivirus, Silver, Thin & Light-1.65kg  ","37,016",https://amazon.in/sspa/click?ie=UTF8&spc=MTo1MDE4OTY0ODIzNjYxMzQ3OjE3MjcxMTk0MTQ6c3BfbXRmOjMwMDEwOTAzNjExMzkzMjo6MDo6&url=%2FDell-Inspiron-3520-Processor-Light-1-65kg%2Fdp%2FB0CJJZ54P8%2Fref%3Dsr_1_11_sspa%3Fcrid%3D3MIUSL9O81U25%26dib%3DeyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERU5Rtnil5BFCbv25_O_pPHHYGldERAzkaiSibN1xEh6hNXi4JLYq9yrmYJuEtsbqPUDGOzwNVdbxqBW2ohV5WqUun_G38edbDqYQ-NgluhjxFIoWPbZD_HRSi789GrPDZbgw1GE5o3HbA3_MeTYS8WPkQzZrQAkCn4ZV6_5tDZa80.mQtjXxjvW50emQuxkVdbj-ixuskJbeUpdRssnnkJRFE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727119414%26sprefix%3Dlat%252Caps%252C1134%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Dell Inspiron 3520 Laptop,12th Gen Intel Core i3-1215, Windows 11 + MSO'21, McAfee 15 Months, 8GB, 512GB SSD, 15.6"" (39.62Cms) 3 Sided Narrow Border Design with 120Hz FHD Display, Black, 1.65Kgs  ","34,999",https://amazon.in/sspa/click?ie=UTF8&spc=MTo1MDE4OTY0ODIzNjYxMzQ3OjE3MjcxMTk0MTQ6c3BfYXRmOjMwMDM0MTQ0NjMxMzMzMjo6MDo6&url=%2FDell-Inspiron-i3-1215-39-62Cms-D560896WIN9B%2Fdp%2FB0BH4RQ4WV%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3MIUSL9O81U25%26dib%3DeyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERU5Rtnil5BFCbv25_O_pPHHYGldERAzkaiSibN1xEh6hNXi4JLYq9yrmYJuEtsbqPUDGOzwNVdbxqBW2ohV5WqUun_G38edbDqYQ-NgluhjxFIoWPbZD_HRSi789GrPDZbgw1GE5o3HbA3_MeTYS8WPkQzZrQAkCn4ZV6_5tDZa80.mQtjXxjvW50emQuxkVdbj-ixuskJbeUpdRssnnkJRFE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727119414%26sprefix%3Dlat%252Caps%252C1134%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black  ","15,430",https://amazon.in/Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR496TBN/ref=sr_1_3?crid=3MIUSL9O81U25&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERU5Rtnil5BFCbv25_O_pPHHYGldERAzkaiSibN1xEh6hNXi4JLYq9yrmYJuEtsbqPUDGOzwNVdbxqBW2ohV5WqUun_G38edbDqYQ-NgluhjxFIoWPbZD_HRSi789GrPDZbgw1GE5o3HbA3_MeTYS8WPkQzZrQAkCn4ZV6_5tDZa80.mQtjXxjvW50emQuxkVdbj-ixuskJbeUpdRssnnkJRFE&dib_tag=se&keywords=laptop&qid=1727119414&sprefix=lat%2Caps%2C1134&sr=8-3
"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","29,990",https://amazon.in/Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CKLN7PSZ/ref=sr_1_4?crid=3MIUSL9O81U25&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERU5Rtnil5BFCbv25_O_pPHHYGldERAzkaiSibN1xEh6hNXi4JLYq9yrmYJuEtsbqPUDGOzwNVdbxqBW2ohV5WqUun_G38edbDqYQ-NgluhjxFIoWPbZD_HRSi789GrPDZbgw1GE5o3HbA3_MeTYS8WPkQzZrQAkCn4ZV6_5tDZa80.mQtjXxjvW50emQuxkVdbj-ixuskJbeUpdRssnnkJRFE&dib_tag=se&keywords=laptop&qid=1727119414&sprefix=lat%2Caps%2C1134&sr=8-4
"(Refurbished) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Webcam/Intel Graphics), Black  ","12,980",https://amazon.in/Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR495DW5/ref=sr_1_5?crid=3MIUSL9O81U25&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElwTDvpQa-eanKszL4_I-ERU5Rtnil5BFCbv25_O_pPHHYGldERAzkaiSibN1xEh6hNXi4JLYq9yrmYJuEtsbqPUDGOzwNVdbxqBW2ohV5WqUun_G38edbDqYQ-NgluhjxFIoWPbZD_HRSi789GrPDZbgw1GE5o3HbA3_MeTYS8WPkQzZrQAkCn4ZV6_5tDZa80.mQtjXxjvW50emQuxkVdbj-ixuskJbeUpdRssnnkJRFE&dib_tag=se&keywords=laptop&qid=1727119414&sprefix=lat%2Caps%2C1134&sr=8-5
"HP Laptop 15s, AMD Ryzen 5 5500U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, 720p HD Camera, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), eq2182AU  ","42,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTozMzMyMjE2MjY0NzU2NzEyOjE3MjcxMTk0MTQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDIxNDUwNDQyNzMzMjo6MTo6&url=%2FHP-15-6-inches-Micro-Edge-Anti-Glare-15s-eq2182AU%2Fdp%2FB0B4N77Y34%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D3MIUSL9O81U25%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.qKMKk2A4nF6rwPFEBMz5bL-ToZtElTVqGfWXdvPOe5F1kt46XGj1QbFedGcCis1u.h6aADYrSdgEHDfIu2pp9QEwbysoGVLxPpWZlwQBhdYY%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0B4N77Y34%26pd_rd_r%3Df65174d6-b20e-49e9-8c10-5c1327fab7c0%26pd_rd_w%3DNkX1M%26pd_rd_wg%3DPuZkJ%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DXSWPMTFRE4VWKKZR7HGX%26qid%3D1727119414%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlat%252Caps%252C1134%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"HP Laptop 15s, 12th Gen Intel Core i3-1215U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, 720p HD Camera, Thin & Light, Dual Speakers (Win 11, Silver, 1.69 kg), fy5011TU  ","37,490",https://amazon.in/sspa/click?ie=UTF8&spc=MTozMzMyMjE2MjY0NzU2NzEyOjE3MjcxMTk0MTQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDM0MTAzNTM1MzUzMjo6Mjo6&url=%2FHP-i3-1215U-15-6-inch-Graphics-Speakers%2Fdp%2FB0D4LZMJ5Z%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D3MIUSL9O81U25%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.qKMKk2A4nF6rwPFEBMz5bL-ToZtElTVqGfWXdvPOe5F1kt46XGj1QbFedGcCis1u.h6aADYrSdgEHDfIu2pp9QEwbysoGVLxPpWZlwQBhdYY%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0D4LZMJ5Z%26pd_rd_r%3Df65174d6-b20e-49e9-8c10-5c1327fab7c0%26pd_rd_w%3DNkX1M%26pd_rd_wg%3DPuZkJ%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DXSWPMTFRE4VWKKZR7HGX%26qid%3D1727119414%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlat%252Caps%252C1134%26sr%3D1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"HONOR MagicBook X16 (2024), 12th Gen Intel Core i5-12450H, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Full-Size Numeric Keyboard /1.68Kg), Gray  ","43,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTozMzMyMjE2MjY0NzU2NzEyOjE3MjcxMTk0MTQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE2NjgwODUwMDkzMjo6Mzo6&url=%2FMagicBook-i5-12450H-Anti-Glare-Full-Size-Keyboard%2Fdp%2FB0CRQB4HBP%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D3MIUSL9O81U25%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.qKMKk2A4nF6rwPFEBMz5bL-ToZtElTVqGfWXdvPOe5F1kt46XGj1QbFedGcCis1u.h6aADYrSdgEHDfIu2pp9QEwbysoGVLxPpWZlwQBhdYY%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CRQB4HBP%26pd_rd_r%3Df65174d6-b20e-49e9-8c10-5c1327fab7c0%26pd_rd_w%3DNkX1M%26pd_rd_wg%3DPuZkJ%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DXSWPMTFRE4VWKKZR7HGX%26qid%3D1727119414%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlat%252Caps%252C1134%26sr%3D1-3-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"HP Laptop 15s, 12th Gen Intel Core i3, 15.6-inch (39.6 cm), 8GB DDR4, 512GB SSD, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU / FQ5327TU  ","38,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTozMzMyMjE2MjY0NzU2NzEyOjE3MjcxMTk0MTQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAzMDUwNDI3NTYzMjo6NDo6&url=%2FHP-i3-1215U-15-6-inch-Graphics-Speakers%2Fdp%2FB0BP2M7CCS%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%253Aamzn1.sym.cd33fa60-47cd-49f3-80b8-24b1f0cbef97%26crid%3D3MIUSL9O81U25%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.qKMKk2A4nF6rwPFEBMz5bL-ToZtElTVqGfWXdvPOe5F1kt46XGj1QbFedGcCis1u.h6aADYrSdgEHDfIu2pp9QEwbysoGVLxPpWZlwQBhdYY%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0BP2M7CCS%26pd_rd_r%3Df65174d6-b20e-49e9-8c10-5c1327fab7c0%26pd_rd_w%3DNkX1M%26pd_rd_wg%3DPuZkJ%26pf_rd_p%3Dcd33fa60-47cd-49f3-80b8-24b1f0cbef97%26pf_rd_r%3DXSWPMTFRE4VWKKZR7HGX%26qid%3D1727119414%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlat%252Caps%252C1134%26sr%3D1-4-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
